Name,Description,Specialization,Key Attribute 1,Key Attribute 2,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18,Skill 19,Skill 20,Skill 21,Skill 22,Skill 23,Skill 24,Skill 25,Skill 26,Skill 27
Monk,"Monks are students of the ancient martial arts of hand-to-hand combat and unarmored self defense. Monks avoid detection by stealth, mobility, and agility, and are skilled with a variety of ranged and close-combat weapons.",Stealth,Agility,Willpower,HandToHand,Unarmored,Athletics,Acrobatics,Sneak,Block,Marksman,LightArmor,Restoration,BluntWeapon,Armorer,MediumArmor,HeavyArmor,LongBlade,Axe,Spear,Enchant,Destruction,Alteration,Illusion,Conjuration,Mysticism,Alchemy,Security,ShortBlade,Mercantile,Speechcraft
Nightblade,"Nightblades are spellcasters who use their magics to enhance mobility, concealment, and stealthy close combat. They have a sinister reputation, since many nightblades are thieves, enforcers, assassins, or covert agents.",Magic,Willpower,Speed,Mysticism,Illusion,Alteration,Sneak,ShortBlade,LightArmor,Unarmored,Destruction,Marksman,Security,Block,Armorer,MediumArmor,HeavyArmor,BluntWeapon,LongBlade,Axe,Spear,Athletics,Enchant,Conjuration,Restoration,Alchemy,Acrobatics,Mercantile,Speechcraft,HandToHand
Pilgrim,"Pilgrims are travellers, seekers of truth and enlightenment. They fortify themselves for road and wilderness with arms, armor, and magic, and through wide experience of the world, they become shrewd in commerce and persuasion.",Stealth,Personality,Endurance,Speechcraft,Mercantile,Marksman,Restoration,MediumArmor,Illusion,HandToHand,ShortBlade,Block,Alchemy,Armorer,HeavyArmor,BluntWeapon,LongBlade,Axe,Spear,Athletics,Enchant,Destruction,Alteration,Conjuration,Mysticism,Unarmored,Security,Sneak,Acrobatics,LightArmor
Rogue,"Rogues are adventurers and opportunists with a gift for getting in and out of trouble. Relying variously on charm and dash, blades and business sense, they thrive on conflict and misfortune, trusting to their luck and cunning to survive.",Combat,Speed,Personality,ShortBlade,Mercantile,Axe,LightArmor,HandToHand,Block,MediumArmor,Speechcraft,Athletics,LongBlade,Armorer,HeavyArmor,BluntWeapon,Spear,Enchant,Destruction,Alteration,Illusion,Conjuration,Mysticism,Restoration,Alchemy,Unarmored,Security,Sneak,Acrobatics,Marksman
Scout,"Scouts rely on stealth to survey routes and opponents, using ranged weapons and skirmish tactics when forced to fight. By contrast with barbarians, in combat scouts tend to be cautious and methodical, rather than impulsive.",Combat,Speed,Endurance,Sneak,LongBlade,MediumArmor,Athletics,Block,Marksman,Alchemy,Alteration,LightArmor,Unarmored,Armorer,HeavyArmor,BluntWeapon,Axe,Spear,Enchant,Destruction,Illusion,Conjuration,Mysticism,Restoration,Security,Acrobatics,ShortBlade,Mercantile,Speechcraft,HandToHand
Sorcerer,"Though spellcasters by vocation, sorcerers rely most on summonings and enchantments. They are greedy for magic scrolls, rings, armor and weapons, and commanding undead and Daedric servants gratifies their egos.",Magic,Intelligence,Endurance,Enchant,Conjuration,Mysticism,Destruction,Alteration,Illusion,MediumArmor,HeavyArmor,Marksman,ShortBlade,Block,Armorer,BluntWeapon,LongBlade,Axe,Spear,Athletics,Restoration,Alchemy,Unarmored,Security,Sneak,Acrobatics,LightArmor,Mercantile,Speechcraft,HandToHand
Spellsword,"Spellswords are spellcasting specialists trained to support Imperial troops in skirmish and in battle. Veteran spellswords are prized as mercenaries, and well-suited for careers as adventurers and soldiers-of-fortune.",Magic,Willpower,Endurance,Block,Restoration,LongBlade,Destruction,Alteration,BluntWeapon,Enchant,Alchemy,MediumArmor,Axe,Armorer,HeavyArmor,Spear,Athletics,Illusion,Conjuration,Mysticism,Unarmored,Security,Sneak,Acrobatics,LightArmor,ShortBlade,Marksman,Mercantile,Speechcraft,HandToHand
Thief,"Thieves are pickpockets and pilferers. Unlike robbers, who kill and loot, thieves typically choose stealth and subterfuge over violence, and often entertain romantic notions of their charm and cleverness in their acquisitive activities.",Stealth,Speed,Agility,Security,Sneak,Acrobatics,LightArmor,ShortBlade,Marksman,Speechcraft,HandToHand,Mercantile,Athletics,Block,Armorer,MediumArmor,HeavyArmor,BluntWeapon,LongBlade,Axe,Spear,Enchant,Destruction,Alteration,Illusion,Conjuration,Mysticism,Restoration,Alchemy,Unarmored
Warrior,"Warriors are the professional men-at-arms, soldiers, mercenaries, and adventurers of the Empire, trained with various weapons and armor styles, conditioned by long marches, and hardened by ambush, skirmish, and battle.",Combat,Strength,Endurance,LongBlade,MediumArmor,HeavyArmor,Athletics,Block,Armorer,Spear,Marksman,Axe,BluntWeapon,Enchant,Destruction,Alteration,Illusion,Conjuration,Mysticism,Restoration,Alchemy,Unarmored,Security,Sneak,Acrobatics,LightArmor,ShortBlade,Mercantile,Speechcraft,HandToHand
Witchhunter,"Witchhunters are dedicated to rooting out and destroying the perverted practices of dark cults and profane sorcery. They train for martial, magical, and stealthy war against vampires, witches, warlocks, and necromancers.",Magic,Intelligence,Agility,Conjuration,Enchant,Alchemy,LightArmor,Marksman,Unarmored,Block,BluntWeapon,Sneak,Mysticism,Armorer,MediumArmor,HeavyArmor,LongBlade,Axe,Spear,Athletics,Destruction,Alteration,Illusion,Restoration,Security,Acrobatics,ShortBlade,Mercantile,Speechcraft,HandToHand
